timestamp,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,speedAccuracy,course,courseAccuracy,floor
2025-01-15T10:00:00.000Z,12.9236,77.498894,919.73,8.95,4.3,0.71,0.34,265.65,13.95,-1
2025-01-15T10:00:01.000Z,12.923591,77.498811,919.52,8.06,4.59,9.03,0.77,263.86,10.98,-1
2025-01-15T10:00:02.000Z,12.923581,77.498723,919.04,9.73,4.9,9.59,0.79,263.75,11.37,-1
2025-01-15T10:00:03.000Z,12.923573,77.498632,919.27,5.28,4.84,9.91,0.61,264.54,7.83,-1
2025-01-15T10:00:04.000Z,12.923564,77.498541,918.81,6.47,2.09,9.9,0.47,264.44,13.63,-1
2025-01-15T10:00:05.000Z,12.923502,77.498487,918.99,3.97,4.28,9.13,0.63,220.45,11.72,-1
2025-01-15T10:00:06.000Z,12.923435,77.498431,918.65,3.59,5.72,9.59,1.0,218.61,9.06,-1
2025-01-15T10:00:07.000Z,12.92336,77.498372,918.2,9.39,2.76,10.54,0.4,217.61,12.93,-1
2025-01-15T10:00:08.000Z,12.923281,77.498307,918.66,9.88,4.04,11.3,0.58,219.01,13.34,-1
2025-01-15T10:00:09.000Z,12.923208,77.498243,919.11,6.08,5.19,10.65,0.9,220.04,5.74,-1
2025-01-15T10:00:10.000Z,12.923204,77.49824,918.88,3.01,2.52,0.56,0.92,219.97,10.53,-1
2025-01-15T10:00:11.000Z,12.923204,77.49824,919.25,8.24,4.96,0,0.98,220.44,13.2,-1
2025-01-15T10:00:12.000Z,12.923204,77.49824,919.39,5.47,4.27,0,0.76,220.13,8.29,-1
2025-01-15T10:00:13.000Z,12.923204,77.49824,919.21,4.43,5.33,0,0.83,219.55,5.42,-1
2025-01-15T10:00:14.000Z,12.923199,77.498236,919.11,4.57,5.64,0.75,0.92,219.29,5.17,-1
2025-01-15T10:00:15.000Z,12.923199,77.498236,919.5,7.55,5.38,0,0.45,217.31,7.62,-1
2025-01-15T10:00:16.000Z,12.923199,77.498236,919.83,5.56,5.07,0,0.75,218.14,12.0,-1
2025-01-15T10:00:17.000Z,12.923199,77.498236,919.72,5.34,2.24,0.41,0.98,303.62,13.42,-1
2025-01-15T10:00:18.000Z,12.923199,77.498236,920.15,5.95,5.7,0,0.96,305.56,8.99,-1
2025-01-15T10:00:19.000Z,12.923199,77.498236,920.4,6.0,2.13,0,0.84,306.71,9.25,-1
2025-01-15T10:00:20.000Z,12.923202,77.498231,920.26,5.65,3.11,0.71,0.4,307.93,7.21,-1
