timestamp,accelerationX,accelerationY,accelerationZ
2025-01-15T10:00:00.000Z,-0.00273,-0.029456,-0.960753
2025-01-15T10:00:00.040Z,-0.020902,0.017842,-1.012156
2025-01-15T10:00:00.080Z,-0.010364,-0.011908,-0.952655
2025-01-15T10:00:00.120Z,-0.031872,-0.022291,-1.03461
2025-01-15T10:00:00.160Z,0.001119,0.03894,-0.982217
2025-01-15T10:00:00.200Z,0.011732,0.005535,-1.0009
2025-01-15T10:00:00.240Z,0.029871,0.022039,-0.959218
2025-01-15T10:00:00.280Z,0.008467,-0.051614,-0.949265
2025-01-15T10:00:00.320Z,-0.024617,-0.010501,-1.025485
2025-01-15T10:00:00.360Z,0.001233,0.013584,-1.032986
2025-01-15T10:00:00.400Z,-0.011835,-0.044,-1.150455
2025-01-15T10:00:00.440Z,0.03205,-0.016862,-1.087203
2025-01-15T10:00:00.480Z,0.028235,-0.017883,-0.946852
2025-01-15T10:00:00.520Z,0.023951,-0.07108,-0.990232
2025-01-15T10:00:00.560Z,-0.005638,-0.007498,-0.910375
2025-01-15T10:00:00.600Z,0.000131,0.007251,-1.000623
2025-01-15T10:00:00.640Z,-0.007002,0.042466,-0.976528
2025-01-15T10:00:00.680Z,0.00738,0.003442,-1.019042
2025-01-15T10:00:00.720Z,0.014796,0.052519,-1.006029
2025-01-15T10:00:00.760Z,-0.026241,0.016529,-1.029771
2025-01-15T10:00:00.800Z,-0.090105,-0.030942,-1.061755
2025-01-15T10:00:00.840Z,-0.034915,-0.024587,-1.053446
2025-01-15T10:00:00.880Z,0.044353,0.025317,-0.975003
2025-01-15T10:00:00.920Z,-0.005322,0.966882,-0.990198
2025-01-15T10:00:00.960Z,-0.123421,-0.045964,-1.03315
2025-01-15T10:00:01.000Z,-0.036591,0.004413,-1.044862
2025-01-15T10:00:01.040Z,-0.008545,-0.058889,-0.967092
2025-01-15T10:00:01.080Z,0.008255,-0.021835,-1.015641
2025-01-15T10:00:01.120Z,-0.013883,-0.001925,-1.029445
2025-01-15T10:00:01.160Z,-0.065792,-0.042549,-1.030158
2025-01-15T10:00:01.200Z,0.039927,-0.016482,-1.06199
2025-01-15T10:00:01.240Z,-0.040466,0.037796,-1.014354
2025-01-15T10:00:01.280Z,-0.052615,-0.010863,-1.051853
2025-01-15T10:00:01.320Z,-1.080993,0.021871,-1.006408
2025-01-15T10:00:01.360Z,-0.017744,0.027482,-0.999278
2025-01-15T10:00:01.400Z,-0.037965,0.012996,-0.995194
2025-01-15T10:00:01.440Z,0.006047,-0.029859,-1.028529
2025-01-15T10:00:01.480Z,0.030959,0.039776,-0.968312
2025-01-15T10:00:01.520Z,0.022473,-0.005075,-0.973247
2025-01-15T10:00:01.560Z,-0.016075,-0.015474,-0.963052
2025-01-15T10:00:01.600Z,0.017321,0.019356,-1.00205
